"IDكود العميل","اسم العميل","رقم الشاسية","نوع الالة","اسم المهندس","نوع العقد","عداد تسليم اسود","عداد تسليم الوان","تاريخ انتهاء العقد","العنوان","التليفون","ملاحظات","Field1"
"1524","شركة فلوكيجر","W2S7315701","KY3252CI","مجدى","صيانة","155406","45313","4/1/2027 12:00:00 AM","ضمان 1000 نسخه","1154042556","01278642080 -ا/ محمد الدسوقي",""
"2003","المصرية للخدمات الزراعية والتجارة","W2S7315991","KY3252CI","مجدى","ايجار","802970","113073","","ش / فؤاد","1099777951","شريف شتا",""
"1821","التجارية للاخشاب الحاسب الالي","W2S7316452","KY3252CI","مجدى","مطلوب عقد","171658","303113","5/17/2026 12:00:00 AM","الورديان","1227614291","03/4412840",""
"769","شركة ايطاليانوا","W2S7316565","KY3252Ci","طارق","زيارة","164320","","","برج العرب -- المنطقة الصناعية الاولى","1207846332","ا / وليد",""
"1818","شركة انوار الصناعه","W2S7623222","KY3252CI","عادل","زيارة","37730","42654","5/16/2026 12:00:00 AM","مرغم الضمان(10000) نسخة","1225733800","",""
"1886","حسين صقر","W2S7624612","KY3252CI","مجدى","زيارة","1115608","197612","","استانلى","","",""
"1410","محمود عبد الحليم الجندى","W2S7725345","KY3252ci","عادل","زيارة","50416","38418","12/11/2025 12:00:00 AM","-كوم البركه  كفر الدوارالضمان (5000) نسخة","1286017333","",""
"","تارجت","W2S7726435","KY3252CI","مجدى","ايجار","99855","231079","3/22/2027 12:00:00 AM","ش - وابور المياه","","",""
"1596","مكتبة رقيه","W2S7727064","MFP3252","عادل","زيارة","453088","246522","1/16/2026 12:00:00 AM","أبو حمص - ضمان ستة أشهر أو عشرة آلاف نسخة","1016196488","أ/ محمد الشرقاوى 01114942842",""
"1838","الحديثة للمواد العازلة","W2S7928515","KY3252CI","رضا","زيارة","466761","161165","2/24/2026 12:00:00 AM","روكسى/ مصر الجديدة --الضمان 3شهور او 5000نسخه","02/24141003","",""
"1839","الحديثة للمواد العازلة","W2S7X33542","KY3252","رضا","زيارة","120450","1329914","2/24/2026 12:00:00 AM","روكسى/ مصر الجديدة --الضمان 3شهور او 5000نسخه","02/24141003","",""
"1667","الحصري للطباعه","W2S8238688","KY3252CI","رضا","زيارة","91673","62448","2/17/2026 12:00:00 AM","ابوسليمان","1202738364","",""
"1460","المجموعة الهندسية للمقاولات","W2S8238789","KY3252 ci","مجدى","زيارة","105321","39889","12/1/2025 12:00:00 AM","2 عمارات الشرطة القديمة الدور السادس الضمان10000ن او6شهور","1099913986","م/محمد حسن",""
"1546","مرسى الصفوه","W2S8340112","KY3252CI","مجدى","زيارة","504877","27040","6/22/2025 12:00:00 AM","6 اشهراونسخه10000","1285004177","",""
"","مكتبة خديجة","W2S8440662","KY3252CI","شعبان","زيارة","215404","96474","6/3/2026 12:00:00 AM","باكوس -- ش/ سينما ليلى","01012562751","",""
"1533","بيتر مينا سمير","W2S8441230","KY3252CI","رضا","زيارة","345741","158094","5/15/2025 12:00:00 AM","ضمان 6اشهر او10000نسخه","1273844675","ابو المطامير",""
"776","شركة ايطاليانوا","W2S8441423","KY3252Ci","طارق","زيارة","236742","","","برج العرب -- المنطقة الصناعية الاولى","1207846332","ا / وليد",""
"1443","شركة برلين للتجارة والتصدير","W2S8542364","KY3252ci","مجدى","زيارة","42245","43017","11/21/2025 12:00:00 AM","محرم بيك الضمان 10000 او6 شهور","1112554411","01207646944 محمد ابراهيم",""
"1813","مكتبة الرواد","W2S8846682","KY3252CI","شعبان","زيارة","150191","147686","5/15/2026 12:00:00 AM","شارع وينجت بعد المزلقان","1004259308","ا/ سعيد عبد النبي",""
"1566","يوسف تكنولوجى","W2S8846711","KY3252CI","رضا","زيارة","202104","99486","1/4/2026 12:00:00 AM","114 راغب جامع سلطان - محطة مصر","1201431561","أ. يوسف مصطفى كامل",""
"944","شركة ايطاليانوا","W2S8848223","KY3252Ci","طارق","زيارة","348936","","","برج العرب -- المنطقة الصناعية الاولى","1207846332","ا / وليد",""
"1820","شركة انوار الصناعه","W2S8Y51937","KY3252CI","عادل","زيارة","145861","10163","5/16/2026 12:00:00 AM","مرغم الضمان(10000) نسخة","1225733800","",""
"2214","بيت الجملة ( برج العرب الادارة )","W2W6600589","KY2552CI","السيد","ايجار","233615","72219","","برج العرب الجديد بجوار الموقف","","",""
"1450","مكتبة النجاح","W2W6701679","KY2552CI","شعبان","زيارة","218432","63790","4/8/2025 12:00:00 AM","خورشيد","1277738880","ا / رامى ( 01284774999 )",""
"1038","التميز","W2W6X06214","KY2552CI","شعبان","ايجار","479460","7160","","ونجت","1223097735","سماح",""
"1625","شركة ميسكو الاستاد (اللتون)","W2W6X06457","KY2552C","مجدى","ايجار","65615","231446","","خلف/ استاد الاسكندرية - الدور الثانى","","",""
"","بيت الجملة فرع العبور الادارة 2 HR","W2W6Y07632","KY2552CI","وائل","ايجار","44071","103468","","العبور","","",""
"1581","مكتبة على الناصية","W2W6Z09089","MFP2552","شعبان","زيارة","188179","48836","1/11/2026 12:00:00 AM","السيوف - الضمان ستة أشهر أو عشرة آلاف نسخة","1029869317","علاء إبراهيم عبد الحميد",""
"1462","الشركه الهاشميه","W2W6Z10935","KY2552ci","رضا","زيارة","120023","42891","9/2/2025 12:00:00 AM","الضمان (10000) نسخة المنصورة","1004618656","ا/ محمود عماد",""
"1745","ح / سعد على","W2W7317778","KY2552CI","عادل","زيارة","24005","121219","","خورشيد","1286753990","عيل تبع ايمن الجمال",""
"1946","شركة الخديوى","W2W7317782","KY2552CI","شعبان","زيارة","29264","258820","4/19/2026 12:00:00 AM","العوايد - عزبة القلعة","01069070348","ا / سمير شلتوت",""
"194","مؤسسة حسن عباس","W2W7317796","KY2552CI","شعبان","زيارة","64261","191148","","","","",""
"1484","أ/ كوثر محمد عبد السلام","W2W7418320","KYP2552","رضا","زيارة","57616","66926","12/16/2025 12:00:00 AM","79 شارع سيدى جابر- ( الضمان 10000)","1277363789","أ/ كوثر",""
"1465","طيبة للصرافة","W2W7418950","KY2552","شعبان","صيانة","27362","55343","12/7/2026 12:00:00 AM","جليم  - بجوار مستشفى الجهاز الهاضمى","1006034825","03 / 5850856  -- 01129856602",""
"1740","علي امبروزو سجل محرم","W2W7419054 ش","KY2552CI","","ارشيف","271147","118707","","امبروزو","1271840522","",""
"1640","ذا فيكتور","W2W7419806","MFP2552","شعبان","ايجار","214626","271321","8/6/2026 12:00:00 AM","بجوار مصنع الشنط السكة الحديد","1119995560","01097748899",""
"1760","مدرسة الصالحية الاعدادية المسائية","W2W7520547","KY2506CI","شعبان","زيارة","88787","43952","4/12/2026 12:00:00 AM","كوبرى الناموس","01222941594","ا / ماجدة",""
"1943","المصرية للخدمات الزراعية والتجارة","W2W7520685","KY2552CI","مجدى","ايجار","141281","60792","","ش / فؤاد","1099777951","شريف شتا",""
"1396","مصنع نوفا","W2W75220685","KY2552ci","مجدى","زيارة","","","","","","",""
"1504","ا / صباح احمد عبد العال","W2W7622300","KY2552CI","شعبان","زيارة","60274","169682","5/16/2025 12:00:00 AM","الفلكى - عزبة زقزوق","1210080107","",""
"1889","بيت الجملة فرع العبور( التسويق)","W2W7723674","KY2552CI","وائل","ايجار","10631","35926","","الالة اللوان وحسابها 4000 جنية شهريا","","",""
"1030","زينب حامد","W2W7827399","KY2552CI","مجدى","زيارة","511442","6750","","","","",""
"","بيت الجملة فرع ابو سليمان","W2W7828843","KY2552CI","السيد","ايجار","142699","148069","","ش / الترعة المردومة","","",""
"1943","ايليت الطبية ( التحصيلات )","W2W7931552","KY2552CI","شعبان","ايجار","244391","266756","","الطريق الدائرى قبل كارفور","1559993069","الايجار 1100 جنية",""
"1421","اله تبع ايمن الجمال","W2W7X32567c","KY2552ci","ايمن","زيارة","","","","","","",""
"","ايليت الطبية ( الباطنة )","W2W7Z36856","KY2552CI","شعبان","ايجار","225024","14327","","الطريق الدائرى قبل كارفور","01146766691","احمد عزت",""
"1294","شركة ميسكو (شئون قانونية)","W2W8239947","KY2552CI","مجدى","ايجار","61769","207621","","خلف/ استاد الاسكندرية","1202767777","01283829774",""
"1945"," مطبعة دريم ارت","W2W8240111","KY2552CI","مجدى","زيارة","112295","172069","4/18/2026 12:00:00 AM","ش ايزيس","1207266803","مصطفى نيازي",""
"1953","الشيخ محمود الشرقاوى","W2W8341221","KY2552CI","شعبان","زيارة","78665","70250","","بجوار الشركة","1222353604","",""
"1445","بلا سنتاجرو","W2W8341630","KY2552ci","مجدى","زيارة","26865","24596","11/25/2025 12:00:00 AM","الضمان 10000 نسخه سبورتنج","1011620027","",""
"1971","قسم الرمل اول (مركز الصلاح)","W2W8342291","KY2552CI","شعبان","زيارة","35972","95353","5/1/2026 12:00:00 AM","الضمان(5000)نسخة","","",""
"1766","ابو مجدى","W2W8442635","KY2552CI","كريم","زيارة","42877","15757","","ش 45 العصافرة","","",""
"1398","شركة ماسترز","W2W8443435","KY2552ci","","زيارة","25858","17226","6/5/2026 12:00:00 AM","جليم* امام نادى المنهدسين","1101212812","مدحت نصر",""
"2081","بيت الجملة فرع ( اللوتس )","W2W8443617","KY2552CI","وائل","ايجار","111275","223885","","","","",""
"2212","بيت الجملة (بركة السبع)","W2W8747946","KY2552CI","وائل","ايجار","359209","100742","","المنوفية  -- بركة السبع","1211667301","م / وائل المنوفية",""
"1472","شركة انوار الصناعه","W2W8948686","KY3252CI","عادل","زيارة","36949","26656","12/13/2025 12:00:00 AM","مرغم الضمان(10000) نسخة","1225733800","",""
"1451","ا / سامح احمد عدلى","W2W8952150","KY2552CI","رضا","زيارة","248077","144601","4/25/2025 12:00:00 AM","بجوار عيادة د / محمد عبد العال","1273742405","01155622889",""
"1529","هاى اسكول","W2W8Y57050","MP2552CI","شعبان","ايجار","714124","199703","","ش ونيجت","1012330580","",""
"","استوديو النصر","W2W8Z58194","KY2552CI","شعبان","ضمان","21139","86727","9/2/2026 12:00:00 AM","سموحة","1212324402","ا / خالد عصام",""
"2080","مؤسسة ادك للتنميه","W2Z7736328","KY3252CI","تامر","ضمان","311343","574193","10/26/2026 12:00:00 AM","سيدي بشر قبلي ش الصداقه بجاور عطارة المحمديه--الضمان(10000)نسخه","01204656339","عندليب محمد السيد مرسي",""
"966","مصنع جرين هاند","W3009604104","MP 171","يحيي","زيارة","","","","برج العرب","1002566667","ح / عنتر",""
"","بيت الجملة فرع سموحة (الدرك ستور) 1","W3009605707","MP171","السيد","ايجار","154967","","","سموحة","","",""
"812","التجارية للاخشاب ( القاهرة)","W3018503291","MP 201","طارق","زيارة","34736","","10/8/2024 12:00:00 AM","القاهرة -- الضمان ( 10000) نسخة","1227614291","03/4412840",""
"1752","ا / شريف حسن","W3018700516","MP201","شعبان","زيارة","","","","سموحة","1067000845","",""
"1057","اكاديمية نافذة الخير","W3018700677","MP201","السيد","زيارة","152445","","11/12/2024 12:00:00 AM","ش  - الجمهورية","1116565796","",""
"453","مكتبة ليلى","W3018710826","MP201","ايمن","زيارة","69731","","3/19/2023 12:00:00 AM","العجمى الهانوفيل -- الضمان (3000) نسخة","1202648749","",""
"225","شركة النيل للنقل البري","W3018902432","mp201","مجدى","زيارة","","","5/1/2026 12:00:00 AM","ميناء الدخيلة","1201215434","عقد صيانة شامل / تجديد ربع سنوى",""
"1075","ا / عز الدين","W3019105281","MP171","شعبان","زيارة","","","","محرم بيك -- خلف شركة بروتال","1289671859","",""
"111","ا / هشام جويدة","W3019105595","mp201","ايمن","زيارة","","","","المينا / مدير الصادرات والواردات","","",""
"549","قسم رمل ثان (السجن)","W3019207536","MP201","اسامة","زيارة","","","","مأمور السجن","","",""
"269","كونكت وليد زكريا","W3019208130","mp201","شعبان","زيارة","127125","","12/11/2022 12:00:00 AM","الحضرة","1201435159","01275616179",""
"218","بيت الجملة فرع اكتوبر سيلفر مول 21","W3019303200","MP201","","ارشيف","","","","فرع اكتوبر","","",""
"","بيت الجملة فرع العبور الادارة 2","W3019317346 ش","MP201","","ارشيف","","","","العبور","","",""
"1299","بيت الجملة ( برج العرب )","W3019400099 ش","MP201","","ارشيف","173866","","","برج العرب -- المخازن","","",""
"1106","ايليت الطبية ( التحصيلات )","W3019400107 ش","MP201","","ارشيف","478493","","","الطريق الدائرى قبل كارفور","","",""
"","بيت الجملة فرع المنشيه","W3019400107 شش","MP201","","ارشيف","533225","","","المنشيه","","",""
"1572","قسم شرطة محرم بك","W3019408394","MP201","مجدى","زيارة","161646","","","صيانة","","",""
"1731","ا / اسلام حلمى","W3019507677","MP201","يحيي","زيارة","","","","","","",""
"1235","نادى النصر(قاعة جراند سيرينا)","W3019703495","MP 201","رضا","زيارة","130303","","10/29/2024 12:00:00 AM","سموحة / بجوار مسجد قباء","1033503001","ا / محمد عمران (01220266020 )",""
"500","الادارة المركزية اقليم غرب","W3028610381","MP201","اسامة","زيارة","84291","","","دمنهور-- ( اقليم صرف غرب الدلتا )","","مدرية الرى",""
"585","ا / عماد المحامي","W3028610597","MP161","شعبان","زيارة","","","","نزلة حجر النواتية","1226794381","",""
"1607","أ / خالد","W3028613213","MP201","يحيي","زيارة","505368","","","بالورشة","1288933691","تبع ايمن ابو زيد",""
"1989","اليكترو الحبشى","W3028616307","MP201","ياسين","زيارة","","","","اسلام -- برج العرب","01100957683","01200667886",""
"748","ا/ محمود احمد القوني","W3028617658","MP201","يحيي","زيارة","","","","المكتب","1115377555","",""
"","بيت الجملة التجمع الخامس دليفرى","W3028706698 ش","MP201","","ارشيف","20752","","","غرفة مدير الفرع","","",""
"350","معرض الامام للسيارات","w3028708024","mp201","طارق","زيارة","79333","","5/2/2022 12:00:00 AM","ش 16 ابوسليمان","1227595481","",""
"1044","ا/احمد خليفه","W3028712062","MP201","مجدى","زيارة","205183","","","","","",""
"975","احمد شمبليون","W3028714201","MP161","شعبان","زيارة","","","","شارع السلطان حسين","1550095115","",""
"950","ا / احمد عبد العزيز","W3028714305","MP161","شعبان","زيارة","","","","لوران ش / شعراوى","1111113618","",""
"900","حلوانى مارفيل","W3028715627","MP201","وسام","زيارة","","","","","","",""
"224","بيت الجملة فرع الجولف 2","W3028717169 ش","MP201","","ارشيف","","","","الجولف","","",""
"1571","شركة بايونير","W3028717456","MP301","","زيارة","317879","","","34 شارع أبى الدرداء أمام قسم اللبان الدور الثالث","","تبع م/ خالد البربرى",""
"858","ا / اسامة عبد الحميد","W3028804035","MP201","شعبان","زيارة","","","","تعاونات سموحة","1005008221","",""
"1951","مؤسسة حسن عباس","W3028804278","MP201","شعبان","زيارة","","","","","","",""
"951","ام السيد ( عبد القادر)","W3028804955","MP161","السيد","زيارة","","","","مدخل عبد القادر-- العامرية","1225067227","",""
"789","مصنع التوحيد","W3028905620","MP 201","مجدى","زيارة","","","","كفر الدوار","1279588593","01204344446",""
"","بيت الجملة فرع مدينتي كرافيت","W3029007187 ش","MP201","","ارشيف","","","","مدينتى","","",""
"1286","الشيخ بشير","W3029103323","MP 201","يحيي","زيارة","","","","","1286835659","",""
"3","الحياة للطب النفسي","W3029105256","MP201","شعبان","زيارة","","","","","1022992223","",""
"857","ا / محمود عبد الخالق","W3029106370","MP201","","زيارة","108048","","5/22/2023 12:00:00 AM","الضمان(5000)نسخة","1277177741","",""
"942","مدرسة تقسيم الزهور","W3029202862","MP161","شعبان","زيارة","","","","المعمورة","1091189047","ا / سكينة",""
"2067","مستشفى الايطالى","W3029204190","MP201","شعبان","زيارة","","","","الحضرة","","تبع عبد الرحمن المحاسب",""
"554","ا / عبد الرازق (المحامى)","W3029208278","MP201","شعبان","زيارة","46916","","9/18/2023 12:00:00 AM","1 ش / القادسية جانوتي","1289818649","باقي حساب الالة 500 جنية يتم التحصيل يوم 30/5/2023",""
"","بيت الجملة فرع العبور الادارة","W3029300612","MP201","وائل","ايجار","254948","","","العبور","","",""
"886","بيت الجملة التجمع الخامس(المشتريات)","W3029301612 ش","MP201","","ارشيف","225766","",""," التجمع الخامس","1066089386","ا / ايمن",""
"1115","ا / حسن على الكومى","W3029302872","MP 201","شعبان","زيارة","","","","الحضرة - ش الازالة","1202886725","01003772918",""
"","اليكترو الحبشى","W3029310309","MP201","يحيي","زيارة","","","","اسلام -- برج العرب","01200667886","اسلام",""
"828","ا/ محمد عبد العال","W3029310368","MP 201","","زيارة","","","","ش/ الريف غيط العنب","1281351310","01278880203",""
"266","فاست لاين مدام وفاء","W3029310830","mp201","ايمن","زيارة","","","3/10/2023 12:00:00 AM","الميناء","","",""
"274","مصنع التوحيد","w3029401342","MP 161","مجدى","صيانة","","","1/31/2027 12:00:00 AM","كفر الدوار","1279588593","01204344446",""
"1578","م / محمد سلطان","W3029401673","MP201","يحيي","زيارة","142620","","","بالورشة","1289554221","",""
"1311","ا / معتصم ممدوح بدر","W3029504235","MP 201","السيد","زيارة","74678","","10/6/2024 12:00:00 AM","بجوار الشركة -- الضمان (5000) نسخة","1277300229","ا / شرين (01270441987)",""
"538","مستشفى اليكس(الارشيف)","W3029601980","MP201","شعبان","زيارة","","","","رشدي","","",""
"711","ا / نسرين ( بندق)","W3029601988","MP201","ايمن","زيارة","","","","داخل المينا","","",""
"2154","اليكترو الحبشى","W3029603738","MP171","يحيي","زيارة","","","","اسلام -- برج العرب","01200667886","اسلام",""
"","بيت الجملة فرع المنشيه","W3029603738 ش","MP201","","ارشيف","","","","المنشيه","","",""
"","بيت الجملة ( برج العرب )","W3038502528 ش","MP201","","ارشيف","285152","","","برج العرب --مكتب الاستلام","","",""
"719","شركة فورس","W3038503616","MP201","","زيارة","","","","امام مدرية الامن القديمة","1206533662","01202228445",""
"1039","مستشفى نيل الامل","W3038704708","MP 201","شعبان","زيارة","","","","المخزن","","",""
"11","فندق امون","W3038704809","MP201","","زيارة","","","","","","",""
"733","مايكل (تامينات)","W3038800122","MP 171","يحيي","زيارة","","","","تامينات محرم بيك","1210501733","مايكل",""
"847","ا / فتحى شحاتة عبد السلام","W3039102078","MP 201","رضا","زيارة","126081","","2/17/2024 12:00:00 AM","عزبة خورشيد -- الضمان ( 3000) نسخة","1222368607","",""
"228","بيت الجملة فرع الحديد والصلب","W3039301411 ش","MP201","","ارشيف","","","","الحديد والصلب","","",""
"","بيت الجملة فرع التجمع الثالث 1 / مخزن","W3039301417","MP201","وائل","ايجار","","","","التجمع الثالث","","",""
"","بيت الجملة فرع العبور / السكن","W3039301420","MP201","وائل","ايجار","","","","العبور","","",""
"1753","فاست ترانس","W3039401773","MP201","مجدى","صيانة","","","5/31/2027 12:00:00 AM","محطة مصر بجوار استاد اسكندرية","01067000845","ا / شريف حسن",""
"836","عبد الرحمن (الصالحية)","W3039502183","MP201","رضا","زيارة","46681","","1/30/2024 12:00:00 AM","ش / المواسير بجوار قهوة علاء -- الضمان (5000) نسخة","1200813885","ا / عبد الرحمن صابر",""
"226","بيت الجملة فرع الجولف 1","W3039502523 ش","MP201","","ارشيف","","","","الجولف","","",""
"986","ا / على عبد المجيد","W3039600521","MP 201","شعبان","زيارة","","","","ابو سليمان ش / الشركة العربية","1001340995","",""
"1040","مستشفى نيل الامل","W3039600594","MP 161","شعبان","زيارة","","","","العيادات","","",""
"","بيت الجملة فرع انشاص","W3039603149","MP201","وائل","ايجار","147637","","","انشاص","","",""
"589","شركة ميسكو (جلوب لينك)","W3048504064","MP201","مجدى","ايجار","20552","","","ش / السلطان حسين ( الريسبشن )","1203000125","ا / شحاتة",""
"1258","سنتر Create","W3048504869","MP201","السيد","زيارة","496662","","","كفر عبدة","1158782060","01555961426",""
"","بيت الجملة (شبين الكوم) HR","W3048603999","MP201","وائل","ايجار","227906","","","المنوفية -- شبين الكوم","1211667301","م / وائل المنوفية",""
"903","د / محمد شكرى (اليكس اسكان)","W3049200494","MP201","شعبان","زيارة","","","","","","",""
"609","كاربت سيتى","W3049404951","MP201","مجدى","زيارة","","","","المنشية / عمارة شيكوريل","1028379459","",""
"1297","مصنع ستورم لاين للملابس","W3049500965","MP201","شعبان","زيارة","","","","الحضرة","1065104944","ا / كريم",""
"1556","الشيخ بشير","W3058502550","MP201","رحيم","زيارة","225765","","","","1286835659","تم تغيير شاسية ودرام",""
"1492","المحيط للتخليص الجمركى","W3058600866","MP201","كريم","زيارة","28620","","","","","",""
"","بيت الجملة فرع الحصرى 1","W3058603986","MP201","","ارشيف","178773","","","القاهرة -- الحصرى","","ا / احمد ابو العنين",""
"705","شركة بيجان","W3058604601","MP 201","شعبان","زيارة","","","","خورشيد / بعد المقابر","1272389327","ا / محمد حسن",""
"","بيت الجملة ( برج العرب )","W3059001259 ش","MP201","","ارشيف","","","","مكتب المشترايات","","ا / كمال",""
"1719","ادوية السيوف ا / مريم","W3059100631","MP201","شعبان","ايجار","195675","","6/30/2027 12:00:00 AM","السيوف","1090718182","",""
"","بيت الجملة فرع المعادي 1","W3059100631 ش","MP201","","ارشيف","","","","المعادي 1","","",""
"","بيت الجملة ( برج العرب )","W3059100631 شش","MP201","","ارشيف","232982","","","مكتب الادارة","","ا / عمرو",""
"1338","بيت الجملة فرع التجمع التالت","W3059101738 ش","MP 201","","ارشيف","30661","","","التجمع الثالث ( تسليم م / رضا صبحى )","","",""
"1088","شركة البارودى","W3059101749","MP201","رضا","زيارة","13860","","11/19/2024 12:00:00 AM","المنشية -- شارع النصر","1554562411","ا / كريم صلاح",""
"221","بيت الجملة فرع التجمع الثالث 2","W3059300425 ش","MP201","","ارشيف","","","","التجمع الثالث","","",""
"130","مخزن مستلزمات طبية","W3059300511","mp201","","زيارة","","","","محطة  ترام سيدي جابر","","",""
"856","مكتب ماهر المحامى","W3059300835","MP201","","زيارة","","","","","","",""
"977","مستشفى نيل الامل","W3059301884","MP 201","شعبان","زيارة","","","","ميامى","1115142200","ا / احمد حليم",""
"","بيت الجملة ( برج العرب )","W3059401797 ش","MP201","","ارشيف","","","","مكتب الاستلام","","",""
"244","بيت الجملة فرع محرم بك (المخازن)","W3059500770 ش","MP201","","ارشيف","","","","محرم بك","","",""
"14","بيت الجملة التجمع الخامس (الاستعلامات)","W3059500770ش","MP201","","ارشيف","145036","","","","","",""
"1105","ا / عبد العزيز احمد (المحامى)","W3059600686","MP201","رضا","زيارة","35585","","12/27/2024 12:00:00 AM","كوبرى الناموس -- شارع مكة","1116996115","01281414569 - 035003289",""
"238","بيت الجملة فرع سموحة (الدرك ستور)","W3068600121","MP201","","ارشيف","","","","سموحة","","",""
"2195","ا / احمد ثابت (المأزون الشرعى)","W3068601188","MP201","السيد","زيارة","","","","ش / بطل السلام امام الترعة المردومة","01281434762","",""
"70","الاكاديمية  مركز التصوير","W3068700700","mp201","مجدى","صيانة","","","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"1300","محل فران ( خالد فران )","W3068701285","MP201","شعبان","زيارة","","","","سموحة -- بجوار التامين الصحى","1206346529","",""
"","بيت الجملة ( برج العرب )","W3068701980","MP201","السيد","ايجار","85426","","","برج العرب -- مكتب المدير","","",""
"1976","محمد صابر ( قسم الرمل)","W3069201350","MP201","يحيي","زيارة","318665","","","","1275429535","",""
"515","يونيتد انجينير2000","W3069300886","MP201","مجدى","زيارة","71051","","8/13/2023 12:00:00 AM","ش/ فوزي معاز--سموحة بلاس--الضمان(5000)نسخة","1224160645","ا / سلامة",""
"","بيت الجملة فرع العبور الادارة 1","W3069400438 ش","MP201","","ارشيف","","","","العبور","","",""
"","بيت الجملة فرع الجولف 1","W3069402234 ش","MP201","","ارشيف","170474","","","","","",""
"1438","الجامعة الاهلية","W317301806 ش","KY6002i","","ارشيف","","","","بجوار الشركة","1208309372","ا / احمد عرفان",""
"2037","مكتبة ابو البنات","W317902609","KY6002CI","رضا","زيارة","","","","تبع الشركة الدولية م محمود صبرى -- المندرة قبلى","01206477687","احمد جيدا",""
"2038","مدرسة ايليت","W317X02643","KY6002CI","تامر","زيارة","770409","","","مدينة الحمام","01226772476","ميس رضوى",""
"1436","الجامعة الاهلية","W318703328 ش","KY6002i","","ارشيف","","","","بجوار الشركة","1208309372","ا / احمد عرفان",""
"2134","مكتب السيسى","W318Y03858","KY6002I","رضا","زيارة","","","","","","",""
"","الجامعة الاهلية","W318Y03860 ش","KY6002I","","ارشيف","2345914","","","بجوار الشركة","1208309372","ا / احمد عرفان",""
"1844","المدرسة الفرنسية (الشاطبى)","W318Y03863","KY6002I","رضا","زيارة","643276","","","الشاطبي","","تبع خالد البربري",""
"1845","المدرسة الفرنسية (الشاطبى)","W318Y03932","KY6002I","رضا","زيارة","1157725","","","الشاطبي","","تبع خالد البربري",""
"1022","مكتبة الكبير( النهضة)","W334M820553","MP2501","","زيارة","19624","","","البرج -- النهضة","1009578524","ح / جمعة علام",""
"994","بقالة مكة (ابو يس)","W357503058","KY5002","طارق","زيارة","","","","النابورية","01281448489","حمدى زلط",""
"1380","سباير فارما","W357503070 ش","KY5002i","","ارشيف","678248","","4/26/2026 12:00:00 AM","ش الريادة حدائق السرايا نموذج H","1022617411","",""
"15","مكتبة الشيماء","W357503121","KY5002i","","ضمان","","","","الناصرية","","",""
"846","سما رين ( الدخيلة )","W357703589","KY5002","السيد","زيارة","","","","اسامة فيصل حمدان حافظ -- الدخيلة","","",""
"670","جمعية الغربية لتنمية المجتمع","W387805065","KYC300","رضا","زيارة","","","","الابراهيمية","1207446572","",""
"401","مدرسة  طة حسين","W3929000144","MP 171","يوسف","زيارة","","","","فلمنج / ش مصطفي كامل","1223592012","",""
"1949","ايليت الطبية","W396301104","KY350CI","شعبان","زيارة","","","","الطريق الدائرى قبل كارفور","01146766691","احمد عزت",""
"2188","مكتب تصريح العمل","W396402125","KY350CI","رضا","زيارة","247693","88316","","سموحة امام مول زهران","","تبع اللواء سعد",""
"","بيت الجملة (شبين الكوم) الاستلام","W397503117","KY350CI","وائل","ايجار","160400","41799","","المنوفية -- شبين الكوم","1211667301","م / وائل المنوفية",""
"","بيت الجملة فرع التجمع التالت التسويق","W397Y04149 ش","KY350C","","ارشيف","159061","31442","","القاهره-التجمع الثالث","","",""
"1502","اسلام الشافعى","W398Y06575","KY350Ci","رضا","زيارة","","","","على الطريق الدائري","12201021","اسلام الشافعى",""
"1704","يونى فريش الزاعية","W399808134","KY350CI","مجدى","زيارة","19958","68642","12/15/2025 12:00:00 AM","سيدى جابر","1200032003","ا / حسام القاضى",""
"2130","مكتبة فريندز","شw3a6600521","KY400CI","","ارشيف","188579","82377","9/6/2026 12:00:00 AM","شارع الزيت من ش/عشرين","1270590785","كريم ابراهيم",""
"2166","شركة الامير للاخشاب","W3A6600537","KY400CI","رضا","زيارة","180093","15853","","الالة مباعة جملة بدون ضمان","","الانصارى",""
"1491","مكت الدكتور / هشام عبد الخالق","W421KA00920","MP2852","شعبان","زيارة","364643","","","فلمنج بجوار أبو كمال","1222312493","5852756","01114223379"
"2207","مكتبة هاى كوالتى","W431K900134","MP3352","يحيي","زيارة","","","","برج العرب الجديد المدينة بجوار فرج الله","01284946346","",""
"448","ا/ احمد عاصم العدل","W431K900134  ش","MP3352","","ارشيف","351544","","1/20/2025 12:00:00 AM"," سيدى بشر- ش/عقلي باشا","01226086799","01285834702",""
"385","مكتبة ام جى","W431K900560","MP3352","شعبان","صيانة","733544","","7/12/2027 12:00:00 AM","ش/المواسير ابو هريرة","1289479407","",""
"479","مكتبة علياء","W431K900636","MP3352","شعبان","زيارة","93360","","6/6/2023 12:00:00 AM","فلمنج -- ضمان (10000)الاف نسخة","1287657520","01012095558 ** 01289034667",""
"55","الادارة العامة ( شرطة التموين)","W431KC00215","MP3352","مجدى","زيارة","237222","","4/9/2023 12:00:00 AM","مدرية الامن القديمة","","",""
"390","مطبعة الشريف","W431KC00286","MP3352","شعبان","زيارة","182698","","1/14/2023 12:00:00 AM","ابو سليمان ش/ منشية الزهراء -- الضمان(5000) نسخة","1127048780","01221570420",""
